ID,Epic,Task,Description,Priority,Phase,Phase Dates,Est. Hours,PRD Ref,Acceptance Criteria,Dependencies,Status
0.1,Foundation & Setup,Create B2 account + bucket,Create Backblaze B2 account and provision the nova-previs bucket,P0,Phase 0 - Design & Setup,Jul 9-12,1,Section 8.2,Bucket exists and is reachable via S3-compatible API with test credentials,None,Done
0.2,Foundation & Setup,Apply for GMI Cloud credits,Submit the GMI Cloud credits request form to fund Flux draft-tier image generation,P1,Phase 0 - Design & Setup,Jul 9-12,0.5,Section 9.2,Application submitted; confirmation received or follow-up scheduled,None,Not Started
0.3,Foundation & Setup,Audit real Genblaze SDK capabilities,"Clone github.com/backblaze-labs/genblaze and verify which PRD-assumed features are native (multi-provider Pipeline, provenance manifests, fallback/retry, fan-out, B2 write-through, Object Lock support, event notification handling) vs. what must be hand-built",P0,Phase 0 - Design & Setup,Jul 9-12,4,Section 9.3 / Risk,Written note listing native vs. custom-built features; PRD Section 9 updated to match reality,None,Done
0.4,Foundation & Setup,Choose tech stack,Decide frontend framework backend framework and hosting provider for the web app,P0,Phase 0 - Design & Setup,Jul 9-12,2,Section 7,Stack decision documented in README,None,Done
0.5,Foundation & Setup,Set up GitHub repo,"Create repo with README skeleton, license, and setup instructions structure",P0,Phase 0 - Design & Setup,Jul 9-12,1,Submission Reqs,Repo created and pushed with initial commit,None,Done
0.6,Foundation & Setup,Provision provider API keys,"Get API access for the agent LLM, Gemini 2.5 Flash Image, gpt-image-1, Flux/GMI Cloud, Runway, Luma, Decart, Stability Audio, ElevenLabs",P0,Phase 0 - Design & Setup,Jul 9-12,3,Section 9.2,All keys stored securely in env config and test call succeeds for each provider,0.2,Not Started
0.7,Foundation & Setup,Set up local dev environment + CI,Basic lint/test pipeline and local dev workflow,P2,Phase 0 - Design & Setup,Jul 9-12,2,N/A,CI runs on push without errors,0.4,Done
0.8,Foundation & Setup,Configure B2 storage layout,"Create folder structure per PRD 8.2: projects/{id}/scene.json, shots/{id}/spec, frames, locked, animatic, previs/",P0,Phase 0 - Design & Setup,Jul 9-12,2,Section 8.2,Structure verified with a manual test upload matching the spec,0.1,Done
0.9,Foundation & Setup,Configure B2 Object Lock policy,Decide governance vs compliance mode and apply Object Lock settings to the bucket for locked frames and manifests,P0,Phase 0 - Design & Setup,Jul 9-12,2,Section 8.3,Test object with Object Lock applied cannot be deleted/altered before retention expiry,0.1,Done
0.10,Foundation & Setup,Configure B2 lifecycle rules,Set auto-expiration rules for rejected takes and intermediate artifacts,P1,Phase 0 - Design & Setup,Jul 9-12,1,Section 8.3,Test object placed in a lifecycle-tagged path is auto-deleted on schedule,0.1,Done
1.1,Design,Finalize Shot Spec JSON schema,"Lock the Shot Spec fields (camera, lens, framing, lighting, grade, subject, world, continuity_refs) and validation rules",P0,Phase 0 - Design & Setup,Jul 9-12,2,Section 6,Schema documented and validated against the example in PRD Section 6,None,Done
1.2,Design,Wireframe core screens,"Wireframe: scene input, shot list editor, storyboard grid, refine panel, lock action, previs viewer/share page",P0,Phase 0 - Design & Setup,Jul 9-12,4,Section 5,Wireframes cover all 6 steps of the core experience flow,None,Not Started
1.3,Design,Define visual design system,Typography color palette and component library choice,P1,Phase 0 - Design & Setup,Jul 9-12,2,N/A,Style guide doc or Figma reference exists,1.2,Not Started
1.4,Design,Define frontend/backend API contract,"Endpoints for scene submit, shot list edit, refine, lock, assemble, fetch previs",P0,Phase 0 - Design & Setup,Jul 9-12,3,Section 5 / 11,API contract documented (routes, payloads, response shapes),1.1,Not Started
1.5,Design,Define provenance manifest schema,"SHA-256 fields plus model, seed, and params captured per shot",P0,Phase 0 - Design & Setup,Jul 9-12,2,Section 9.3,Manifest schema documented and matches Genblaze's actual output format from task 0.3,0.3,Not Started
1.6,Design,Design fallback/error UX states,UI treatment for provider stall generation failure and retry-in-progress,P1,Phase 0 - Design & Setup,Jul 9-12,2,Section 12,Mockups exist for at least 3 error/fallback states,1.2,Not Started
2.1,Cinematographer Agent,Build scene-to-shot-list agent,LLM pipeline that decomposes a scene description into a proposed shot list,P0,Phase 1 - Core Pipeline,Jul 13-19,8,Section 5 step 2,Given a sample scene the agent returns a coherent ordered shot list matching the PRD example,1.1,Not Started
2.2,Cinematographer Agent,Build editable shot list UI,Add remove reorder and reword shots in the proposed list,P0,Phase 1 - Core Pipeline,Jul 13-19,6,Section 5 step 2,User can fully edit the shot list before proceeding and edits persist,2.1,Not Started
2.3,Cinematographer Agent,Persist scene + shot list to B2,Write scene.json on submit,P0,Phase 1 - Core Pipeline,Jul 13-19,2,Section 8.2,scene.json appears in B2 under the correct project path after submit,0.8,Not Started
2.4,Cinematographer Agent,Generate initial Shot Spec per shot,Agent authors full Shot Spec IR for each shot in the list,P0,Phase 1 - Core Pipeline,Jul 13-19,6,Section 6,Each shot has a valid Shot Spec matching the schema from 1.1,2.1,Not Started
2.5,Cinematographer Agent,Handle malformed agent output,Validation and automatic retry when agent output fails schema checks,P1,Phase 1 - Core Pipeline,Jul 13-19,3,Risk mitigation,Injected malformed test case triggers retry and recovers without crashing,2.4,Not Started
3.1,Image Generation,Integrate Genblaze image stage,Wire Genblaze Pipeline to compile a Shot Spec into a provider call,P0,Phase 1 - Core Pipeline,Jul 13-19,6,Section 9.2,One Shot Spec successfully produces one generated still via Genblaze,0.3,Not Started
3.2,Image Generation,Primary provider - Gemini 2.5 Flash Image,Wire nano-banana as the primary image provider,P0,Phase 1 - Core Pipeline,Jul 13-19,4,Section 9.2,Storyboard still generated successfully via nano-banana for a test shot,3.1,Not Started
3.3,Image Generation,Fallback chain - gpt-image-1 / Flux,Wire fallback providers and confirm Genblaze switches over on primary failure,P0,Phase 1 - Core Pipeline,Jul 13-19,4,Section 9.2,Simulated primary-provider failure results in a successful fallback-generated still,3.2,Not Started
3.4,Image Generation,Implement continuity_refs handling,Pass prior locked frames into generation calls for cross-shot consistency,P0,Phase 1 - Core Pipeline,Jul 13-19,5,Section 6 / 9.2,A second shot referencing continuity_refs visibly matches character/world from the first,3.2,Not Started
3.5,Image Generation,Store frame versions in B2,Write spec/v{n}.json and frames/v{n}.png on each generation,P0,Phase 1 - Core Pipeline,Jul 13-19,2,Section 8.2,Each generation creates a new versioned object in B2 without overwriting prior versions,3.1,Not Started
3.6,Image Generation,Build refine loop,Natural-language feedback produces a new Shot Spec version and regenerates the still,P0,Phase 1 - Core Pipeline,Jul 13-19,6,Section 5 step 3,User can type a refinement and see a new versioned frame reflecting it,3.5,Not Started
3.7,Image Generation,Version history UI,Scrub between v1..vN compare and revert,P1,Phase 1 - Core Pipeline,Jul 13-19,4,Section 8.4,User can view and revert to any prior version of a shot,3.6,Not Started
8.1,Frontend,Build scene input screen,Free-text scene description entry point,P0,Phase 1 - Core Pipeline,Jul 13-19,3,FR1,User can submit a scene description and see it persist,1.4,Not Started
8.2,Frontend,Build shot list editor screen,UI wrapper around task 2.2,P0,Phase 1 - Core Pipeline,Jul 13-19,3,FR2,Matches wireframe from 1.2,2.2,Not Started
8.3,Frontend,Build storyboard grid + refine panel,UI wrapper around tasks 3.1-3.6,P0,Phase 1 - Core Pipeline,Jul 13-19,5,FR3 / FR4,Matches wireframe from 1.2,3.6,Not Started
4.1,B2 Lock & Provenance,Implement Lock action,Write locked/frame.png and locked/manifest.json with Object Lock applied,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,5,Section 8.2 / FR5,Locking a shot produces an immutable Object-Locked frame and manifest in B2,0.9,Not Started
4.2,B2 Lock & Provenance,Generate SHA-256 provenance manifest,Genblaze-produced manifest capturing spec plus model plus seed plus params,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,3,Section 9.3,Manifest hash can be independently recomputed and matches,4.1,Not Started
4.3,B2 Lock & Provenance,Generate durable shareable URLs,Non-expiring links for locked frames,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,2,Section 8.3,A locked frame URL opens correctly from a fresh browser session with no auth,4.1,Not Started
4.4,B2 Lock & Provenance,Build manifest verification utility,Recompute hash and confirm chain-of-custody integrity,P1,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,3,Section 8.4 use case 3,Utility correctly flags a tampered test manifest as invalid,4.2,Not Started
5.1,Event-Driven Trigger,Configure B2 event notification on lock,Set up notification firing when a locked-frame object is created,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,4,Section 8.3 / 10,Creating a locked frame object fires a verifiable event,4.1,Not Started
5.2,Event-Driven Trigger,Build event listener/webhook handler,Receive the B2 event and trigger the animatic stage automatically,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,5,Section 10,Locking a shot triggers animatic generation with no manual step,5.1,Not Started
5.3,Event-Driven Trigger,Build polling fallback,Backup trigger mechanism in case native B2 event notifications aren't viable in time,P1,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,3,Risk mitigation,Pipeline still advances end-to-end if the event path is disabled,5.2,Not Started
6.1,Animatic & Audio,Integrate Genblaze video stage,Locked frame plus spec compiles to a motion-clip provider call,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,6,Section 9.2,A locked shot produces a motion clip via Genblaze,5.2,Not Started
6.2,Animatic & Audio,Wire video providers,Primary Runway fallback Luma draft Decart,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,5,Section 9.2,Simulated Runway failure results in successful Luma fallback clip,6.1,Not Started
6.3,Animatic & Audio,Wire audio providers,Primary Stability Audio ambient/score fallback ElevenLabs VO,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,4,Section 9.2,A locked shot produces a scratch audio track,6.1,Not Started
6.4,Animatic & Audio,Store animatic + audio in B2,Write animatic/clip.mp4 and animatic/audio.mp3,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,2,Section 8.2,Files appear at the correct B2 path after generation,6.2,Not Started
6.5,Animatic & Audio,Implement retry/fallback via Genblaze,Confirm graceful degradation across the animatic and audio stages,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,3,Section 9.3,A forced provider stall does not fail the overall run,6.2,Not Started
7.1,Sequence Assembly,Stitch clips in shot order,Assemble all locked shots' animatic clips into one sequence,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,5,Section 5 step 6 / FR7,A full test scene assembles into a single continuous video in correct order,6.4,Not Started
7.2,Sequence Assembly,Sync scratch audio into sequence,Mix per-shot audio tracks into the assembled sequence,P1,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,3,Section 5 step 6,Assembled sequence has audible per-shot audio aligned to its clip,7.1,Not Started
7.3,Sequence Assembly,Write final previs + manifest to B2,Store previs/sequence.mp4 and full-chain manifest.json,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,2,Section 8.2,Final assets appear at the correct B2 path,7.1,Not Started
7.4,Sequence Assembly,Generate durable previs URL,Shareable non-expiring link for the assembled sequence,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,2,Section 8.3 / FR8,Link opens and plays the assembled previs from a fresh browser session,7.3,Not Started
8.4,Frontend,Build lock action + status indicators,Generating/locked/animatic-ready states in the UI,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,3,Section 5 step 4,User sees accurate real-time status through the full pipeline,5.2,Not Started
8.5,Frontend,Build previs viewer/share page,Playback page for the final durable previs link,P0,Phase 2 - Full Pipeline + B2 Depth,Jul 20-26,4,FR8,Page plays the assembled sequence and displays the shareable link,7.4,Not Started
9.1,Reliability Hardening,End-to-end fallback test,Simulate a provider failure at every stage and confirm the run still completes,P0,Phase 3 - Hardening & Testing,Jul 27-30,4,Section 12 / NFR Reliability,All 3 pipeline stages complete successfully under a forced primary-provider failure,"6.5, 3.3",Not Started
9.2,Reliability Hardening,Check latency budgets,Measure draft vs premium tier timing per stage against expectations,P1,Phase 3 - Hardening & Testing,Jul 27-30,2,NFR Latency,Documented timing for each stage and tier,9.1,Not Started
9.3,Reliability Hardening,Add error boundaries + messaging,User-facing error handling across the app,P1,Phase 3 - Hardening & Testing,Jul 27-30,3,Section 12,No unhandled crash states during a forced-failure test pass,1.6,Not Started
9.4,Reliability Hardening,Full scene stress test,Run one complete 5-6 shot scene through the entire pipeline end to end,P0,Phase 3 - Hardening & Testing,Jul 27-30,4,Section 14 MVP scope,A full scene completes from description to shareable previs URL with no manual intervention,"7.4, 9.1",Not Started
10.1,Consumer Testing,Recruit test users,3-5 users spanning filmmaker ad creator and film student personas,P0,Phase 3 - Hardening & Testing,Jul 27-30,2,Section 4,Sessions scheduled with at least 3 confirmed participants,None,Not Started
10.2,Consumer Testing,Write test script,Task list covering describe edit refine lock and view previs,P0,Phase 3 - Hardening & Testing,Jul 27-30,1,Section 5,Script covers all 6 core experience steps,None,Not Started
10.3,Consumer Testing,Run moderated test sessions,Observe users completing the script and capture friction points,P0,Phase 3 - Hardening & Testing,Jul 27-30,4,Section 13,Sessions completed with notes captured for each participant,"10.1, 10.2, 9.4",Not Started
10.4,Consumer Testing,Triage feedback,Sort findings into must-fix vs backlog,P0,Phase 3 - Hardening & Testing,Jul 27-30,1,N/A,Prioritized fix list exists,10.3,Not Started
10.5,Consumer Testing,Implement critical fixes,Address must-fix issues found in testing,P0,Phase 3 - Hardening & Testing,Jul 27-30,6,N/A,All must-fix items resolved and re-verified,10.4,Not Started
10.6,Consumer Testing,Validate success metrics,Check time-to-previs and refine-convergence against real test sessions,P1,Phase 3 - Hardening & Testing,Jul 27-30,1,Section 13,Metrics recorded for at least 3 sessions,10.3,Not Started
8.6,Frontend,Build multi-take fan-out UI,Let user generate and pick between parallel takes of a locked shot,P2,Phase 3 - Hardening & Testing,Jul 27-30,4,Section 9.3 use case 3,User can trigger 2-3 parallel takes and select one,6.2,Not Started
8.7,Frontend,Responsive/visual polish pass,General UI cleanup across all screens,P1,Phase 3 - Hardening & Testing,Jul 27-30,4,N/A,No major visual breakage on a standard laptop viewport,8.5,Not Started
11.1,Submission Prep,Write Devpost text description,"Features, B2 usage, Genblaze usage, and full providers/models list",P0,Phase 4 - Video & Submission,Jul 31-Aug 3,3,Submission Reqs,Draft covers all 4 required elements from the official rules,"0.3, 0.6",Not Started
11.2,Submission Prep,Finalize GitHub README,Full setup instructions and architecture summary,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,2,Submission Reqs,A fresh clone can be set up following only the README,0.5,Not Started
11.3,Submission Prep,Create test account if needed,Login credentials and instructions if the app requires auth,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,1,Submission Reqs,Test account works end-to-end for a judge with no prior context,None,Not Started
11.4,Submission Prep,Confirm live app uptime through judging period,Verify hosting cost and stability through Aug 11 judging end,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,2,Official Rules Sec 4 Testing,Hosting plan confirmed to remain live and free to access through Aug 11,None,Not Started
11.5,Submission Prep,File Genblaze SDK feedback issues,Submit 1-2 real bug reports or feature requests found during the build,P1,Phase 4 - Video & Submission,Jul 31-Aug 3,1,Feedback Prize,At least 1 issue filed on the Genblaze GitHub repo,0.3,Not Started
11.6,Submission Prep,Final QA on live submitted URL,End-to-end pass on the exact URL that will be submitted,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,2,Submission Reqs,Full pipeline run succeeds on production URL immediately before submission,9.4,Not Started
12.1,Demo Video,Write video script,Script and shot list for a sub-3-minute demo,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,2,Submission Reqs,Script timed at under 3 minutes when read aloud,None,Not Started
12.2,Demo Video,Choose demo scene,Pick a visually compelling scene that shows multi-shot plus refine plus lock plus event trigger plus fallback,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,1,N/A,Scene selected and pre-tested end to end,9.4,Not Started
12.3,Demo Video,Screen-record full pipeline run,Capture the actual live app performing the demo scene,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,3,N/A,Clean recording of the full flow with no crashes,"12.1, 12.2",Not Started
12.4,Demo Video,Record narration,"Voiceover explicitly explaining B2 and Genblaze usage, tied to judging criteria",P0,Phase 4 - Video & Submission,Jul 31-Aug 3,2,Submission Reqs,Narration explicitly names how B2 and Genblaze are used,12.1,Not Started
12.5,Demo Video,Edit video,"Cut footage, add captions and titles, tighten to under 3 minutes",P1,Phase 4 - Video & Submission,Jul 31-Aug 3,3,Official Rules,Final cut is under 3:00 total runtime,"12.3, 12.4",Not Started
12.6,Demo Video,Upload to YouTube or Vimeo,Public unlisted-not-allowed visibility with no copyrighted music,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,1,Official Rules,Video is publicly viewable at a stable URL,12.5,Not Started
12.7,Demo Video,Add video link to submission form,Attach the final video URL to the Devpost submission,P0,Phase 4 - Video & Submission,Jul 31-Aug 3,1,Submission Reqs,Link is present and playable on the submitted Devpost entry,12.6,Not Started
